,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,KSB Pumps,Engineering & Capital Goods,"29,058.00",2.21,4.82,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
1,Johnson Control,Consumer Durables,"10,765.00",2.15,4.69,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
2,Grindwell Norto,Engineering & Capital Goods,"53,421.00",2.14,4.68,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
3,Timken,Engineering & Capital Goods,"28,831.00",1.92,4.2,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
4,Heidelberg Cem,Cement & Construction,"144,754.00",1.81,3.95,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
5,BASF,Chemicals,"9,412.00",1.68,3.66,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
6,Ingersoll Rand,Engineering & Capital Goods,"18,893.00",1.59,3.48,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
7,DCB Bank,Banking & Financial Services,"77,970.00",1.55,3.38,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
8,J. K. Cement,Cement & Construction,"16,181.00",1.52,3.32,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
9,Bayer CropScien,Chemicals,"3,111.00",1.44,3.15,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
10,NRB Bearings,Engineering & Capital Goods,"109,739.00",1.41,3.07,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
11,Honeywell Autom,Telecommunication,"1,193.00",1.39,3.04,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
12,Mahindra CIE,Manufacturing,"54,655.00",1.33,2.91,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
13,Elantas Beck,Chemicals,"6,755.00",1.32,2.88,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
14,Schneider Infra,Utilities,"97,623.00",1.25,2.73,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
15,Vesuvius India,Cement & Construction,"9,923.00",1.25,2.73,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
16,Minda Ind,Automotive,"16,721.00",1.07,2.34,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
17,Ador Welding,Engineering & Capital Goods,"28,051.00",1.05,2.3,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
18,Blue Star,Consumer Durables,"16,925.00",1.02,2.22,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
19,Take Solutions,Information Technology,"54,396.00",0.89,1.95,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
20,Subros,Automotive,"36,063.00",0.87,1.9,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
21,Goodyear,Automotive,"9,718.00",0.86,1.88,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
22,INOX Leisure,Media & Entertainment,"27,797.00",0.76,1.66,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
23,Salzer Electro,Engineering & Capital Goods,"38,197.00",0.76,1.66,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
24,HSIL,Cement & Construction,"20,320.00",0.74,1.62,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
25,Novartis India,Pharmaceuticals,"11,818.00",0.74,1.62,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
26,Himadri Special,Chemicals,"84,947.00",0.67,1.46,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
27,ITD Cementation,Cement & Construction,"37,335.00",0.63,1.38,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
28,Rane Holdings,Automotive,"3,589.00",0.63,1.37,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
29,Godfrey Phillip,Tobacco,"4,726.00",0.6,1.3,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
30,SML Isuzu,Automotive,"4,887.00",0.59,1.29,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
31,PSP Projects,Cement & Construction,"21,558.00",0.58,1.27,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
32,INEOS Styro,Chemicals,"6,925.00",0.58,1.26,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
33,Ujjivan Financi,Banking & Financial Services,"18,500.00",0.57,1.25,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
34,NIIT Tech,Information Technology,"9,918.00",0.57,1.25,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
35,Premier Explo,Chemicals,"10,225.00",0.5,1.09,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
36,Gillette India,Consumer Non-durables,950.00,0.49,1.06,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
37,Repco Home,Banking & Financial Services,"5,778.00",0.48,1.04,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
38,Clariant Chem,Chemicals,"7,293.00",0.46,1.01,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
39,Dollar Ind,Manufacturing,"2,143.00",0.45,0.98,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
40,Mcleod,Food & Beverages,"24,523.00",0.43,0.93,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
41,Gujarat Pipavav,Services,"26,647.00",0.4,0.87,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
42,Kennametal,Engineering & Capital Goods,"5,848.00",0.36,0.79,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
43,S Chand and Co,Miscellaneous,"7,412.00",0.35,0.76,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
44,Monsanto India,Chemicals,986.00,0.27,0.59,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
45,RPP Infra Proj,Cement & Construction,"8,584.00",0.21,0.45,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
46,ICRA,Miscellaneous,114.00,0.05,0.1,,sundaram-select-micro-cap-sr-4-rp-g,MSN867
